Location,City,city_name,state_name,Lat,Lng
"Simi Valley, CA",12,Simi Valley, CA,34.2694474,-118.781482
"Sioux Falls, SD",12,Sioux Falls, SD,43.5473028,-96.728333
"Middletown, RI",12,Middletown, RI,41.5218243,-71.2834538
"Lake Forest, CA",12,Lake Forest, CA,33.6469437,-117.6861023
"Yonkers, NY",12,Yonkers, NY,40.9312099,-73.89874689999999
"Palmetto, FL",12,Palmetto, FL,27.5214269,-82.57231929999999
"Lafayette, IN",12,Lafayette, IN,40.4167022,-86.87528689999999
"Falmouth, ME",12,Falmouth, ME,43.7435343,-70.2601759
"Lakeland, FL",12,Lakeland, FL,28.0394654,-81.9498042
"Hopkinton, MA",12,Hopkinton, MA,42.22869540000001,-71.5225646
"Rolling Meadows, IL",12,Rolling Meadows, IL,42.0841936,-88.0131275
"Hagerstown, MD",12,Hagerstown, MD,39.6417629,-77.71999319999999
"Spring, TX",12,Spring, TX,30.0799405,-95.41716009999999
"Quantico, VA",12,Quantico, VA,38.5229229,-77.2900787
"Vernon Hills, IL",12,Vernon Hills, IL,42.23933230000001,-87.9653565
"New Castle, DE",12,New Castle, DE,39.6620397,-75.5668166
"Worcester, MA",11,Worcester, MA,42.2625932,-71.8022934
"Rosemont, IL",11,Rosemont, IL,41.98675069999999,-87.8721602
"Chapel Hill, NC",11,Chapel Hill, NC,35.9131996,-79.0558445
"Milford, CT",11,Milford, CT,41.2306979,-73.064036
"Towson, MD",11,Towson, MD,39.4014955,-76.6019125
"Trevose, PA",11,Trevose, PA,40.1392766,-74.9810019
"Castle Rock, CO",11,Castle Rock, CO,39.3722121,-104.8560902
"Playa Vista, CA",11,Playa Vista, CA,33.9719826,-118.4265872
"Westwood, CA",11,Westwood, CA,40.3059999,-121.0057931
"Allen, TX",11,Allen, TX,33.1031744,-96.67055030000002
"Ventura, CA",11,Ventura, CA,34.2804923,-119.2945199
"Irwindale, CA",11,Irwindale, CA,34.1069527,-117.9353413
"El Paso, TX",11,El Paso, TX,31.7618778,-106.4850217
"Mooresville, NC",11,Mooresville, NC,35.5859146,-80.8081413
"New Haven, CT",11,New Haven, CT,41.308274,-72.9278835
"Erlanger, KY",11,Erlanger, KY,39.0167275,-84.60077729999999
