,Location,City,city_name,state_name,Lat,Lng
305,"Clearwater, FL",37,Clearwater, FL,27.9658533,-82.8001026
306,"Cleveland Heights, OH",1,Cleveland Heights, OH,41.5200518,-81.556235
307,"Cleveland, OH",67,Cleveland, OH,41.49932,-81.6943605
308,"Clifton Park, NY",1,Clifton Park, NY,42.844668,-73.8183804
309,"Clifton, NJ",1,Clifton, NJ,40.8584328,-74.1637553
310,"Clinton, NJ",3,Clinton, NJ,40.6367682,-74.90989
311,"Clinton, TN",1,Clinton, TN,36.1034126,-84.1318632
312,"Coatesville, PA",2,Coatesville, PA,39.9831616,-75.8238355
313,"Cockeysville, MD",1,Cockeysville, MD,39.4812172,-76.6438598
314,"Coconut Creek, FL",1,Coconut Creek, FL,26.2517482,-80.1789351
315,"Coffeyville, KS",1,Coffeyville, KS,37.0373005,-95.6163665
316,"Cold Spring, KY",1,Cold Spring, KY,39.0217283,-84.4399406
317,"College Park, MD",1,College Park, MD,38.9896967,-76.93776
318,"College Station, TX",9,College Station, TX,30.627977,-96.3344068
319,"Collegeville, PA",6,Collegeville, PA,40.1856597,-75.451571
320,"Collierville, TN",8,Collierville, TN,35.042036,-89.6645266
321,"Colorado Springs, CO",16,Colorado Springs, CO,38.8338816,-104.8213634
322,"Colorado, CO",2,Colorado, CO,39.5500507,-105.7820674
323,"Columbia Falls, MT",1,Columbia Falls, MT,48.3799643,-114.1804038
324,"Columbia, MD",42,Columbia, MD,39.2037144,-76.8610462
325,"Columbia, MO",7,Columbia, MO,38.9517053,-92.3340724
326,"Columbia, SC",70,Columbia, SC,34.0007104,-81.0348144
327,"Columbus, GA",3,Columbus, GA,32.4609764,-84.9877094
328,"Columbus, IN",3,Columbus, IN,39.2014404,-85.9213796
329,"Columbus, OH",75,Columbus, OH,39.9611755,-82.9987942
330,"Commack, NY",1,Commack, NY,40.8428759,-73.2928943
331,"Commerce, CA",7,Commerce, CA,34.0005691,-118.1597929
332,"Concord, CA",21,Concord, CA,37.9779776,-122.0310733
333,"Concord, MA",8,Concord, MA,42.4603719,-71.3489484
334,"Concord, NC",5,Concord, NC,35.4087517,-80.579511
335,"Concord, NH",3,Concord, NH,43.2081366,-71.5375718
336,"Conshohocken, PA",5,Conshohocken, PA,40.0792766,-75.3015714
337,"Conway, AR",8,Conway, AR,35.0886963,-92.4421011
338,"Cooper City, FL",1,Cooper City, FL,26.0573112,-80.271716
339,"Coppell, TX",15,Coppell, TX,32.9545687,-97.0150078
340,"Coral Gables, FL",9,Coral Gables, FL,25.7491968,-80.2635411
341,"Coral Springs, FL",9,Coral Springs, FL,26.271192,-80.2706044
342,"Cornelius, NC",1,Cornelius, NC,35.4868032,-80.8600736
343,"Corning, NY",2,Corning, NY,42.1428521,-77.0546903
344,"Corona, CA",1,Corona, CA,33.8752935,-117.5664384
345,"Corvallis, OR",4,Corvallis, OR,44.5645659,-123.2620435
346,"Costa Mesa, CA",23,Costa Mesa, CA,33.6412156,-117.9188221
347,"Costa Mesa, IA",6,Costa Mesa, IA,33.6908682,-117.9295973
348,"Cottonwood Heights, UT",2,Cottonwood Heights, UT,40.6183158,-111.8162931
349,"Covington, GA",6,Covington, GA,33.5967815,-83.8601827
350,"Covington, KY",1,Covington, KY,39.0836712,-84.5085536
351,"Covington, LA",1,Covington, LA,30.4754702,-90.1009108
352,"Covington, VA",1,Covington, VA,37.7934585,-79.9939463
353,"Cranberry Township, PA",1,Cranberry Township, PA,40.6849626,-80.1071379
354,"Cranston, RI",9,Cranston, RI,41.7798226,-71.4372796
355,"Crescent Springs, KY",9,Crescent Springs, KY,39.0514492,-84.5816106
356,"Crest Hill, IL",2,Crest Hill, IL,41.554753,-88.0986709
357,"Crystal City, VA",4,Crystal City, VA,38.855419,-77.0521289
358,"Crystal Lake, IL",1,Crystal Lake, IL,42.2411344,-88.3161965
359,"Culver City, CA",169,Culver City, CA,34.0211224,-118.3964665
360,"Cumberland, RI",3,Cumberland, RI,41.9721816,-71.4061876
361,"Cupertino, CA",34,Cupertino, CA,37.3229978,-122.0321823
362,"Cuyahoga Falls, OH",2,Cuyahoga Falls, OH,41.1339449,-81.4845585
363,"Cypress, CA",15,Cypress, CA,33.8169366,-118.0368507
364,"Cypress, TX",2,Cypress, TX,29.9716905,-95.6937856
365,"Dahlgren, VA",1,Dahlgren, VA,38.3312379,-77.0510857
366,"Dallas, PA",1,Dallas, PA,41.3361911,-75.9632546
